Name,Usage Location,Protocol Extension,Change Controller,Reference
invalid_request,"authorization endpoint, token endpoint, resource access error response","OAuth 2.0 Authorization Framework, bearer access token type",IETF,[RFC6749][RFC6750]
unauthorized_client,"authorization endpoint, token endpoint",OAuth 2.0 Authorization Framework,IETF,[RFC6749]
access_denied,authorization endpoint,OAuth 2.0 Authorization Framework,IETF,[RFC6749]
unsupported_response_type,authorization endpoint,OAuth 2.0 Authorization Framework,IETF,[RFC6749]
invalid_scope,"authorization endpoint, token endpoint",OAuth 2.0 Authorization Framework,IETF,[RFC6749]
server_error,authorization endpoint,OAuth 2.0 Authorization Framework,IETF,[RFC6749]
temporarily_unavailable,authorization endpoint,OAuth 2.0 Authorization Framework,IETF,[RFC6749]
invalid_client,"token endpoint, authorization endpoint",OAuth 2.0 Authorization Framework,IETF,[RFC6749]
invalid_grant,token endpoint,OAuth 2.0 Authorization Framework,IETF,[RFC6749]
unsupported_grant_type,token endpoint,OAuth 2.0 Authorization Framework,IETF,[RFC6749]
invalid_token,resource access error response,bearer access token type,IETF,[RFC6750]
insufficient_scope,resource access error response,bearer access token type,IETF,[RFC6750]
unsupported_token_type,revocation endpoint error response,token revocation endpoint,IETF,[RFC7009]
interaction_required,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_WG],[OpenID Connect Core 1.0 incorporating errata set 1]
login_required,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_WG],[OpenID Connect Core 1.0 incorporating errata set 1]
account_selection_required,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_WG],[OpenID Connect Core 1.0 incorporating errata set 1]
consent_required,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_WG],[OpenID Connect Core 1.0 incorporating errata set 1]
invalid_request_uri,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_WG],[OpenID Connect Core 1.0 incorporating errata set 1]
invalid_request_object,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_WG],[OpenID Connect Core 1.0 incorporating errata set 1]
request_not_supported,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_WG],[OpenID Connect Core 1.0 incorporating errata set 1]
request_uri_not_supported,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_WG],[OpenID Connect Core 1.0 incorporating errata set 1]
registration_not_supported,authorization endpoint,OpenID Connect,[OpenID_Foundation_Artifact_Binding_WG],[OpenID Connect Core 1.0 incorporating errata set 1]
need_info (and its subsidiary parameters),"authorization server response, token endpoint",Kantara UMA,[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 3.3.6]"
request_denied,"authorization server response, token endpoint",Kantara UMA,[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 3.3.6]"
request_submitted (and its subsidiary parameters),"authorization server response, token endpoint",Kantara UMA,[Kantara_UMA_WG],"[UMA 2.0 Grant for OAuth 2.0, Section 3.3.6]"
invalid_redirect_uri,registration endpoint,Dynamic Client Registration,IETF,"[RFC7591, Section 3.2.2]"
invalid_client_metadata,registration endpoint,Dynamic Client Registration,IETF,"[RFC7591, Section 3.2.2]"
invalid_software_statement,registration endpoint,Dynamic Client Registration,IETF,"[RFC7591, Section 3.2.2]"
unapproved_software_statement,registration endpoint,Dynamic Client Registration,IETF,"[RFC7591, Section 3.2.2]"
